"FND_APP_STANDARD_LOOKUP.LookupType","LookupCode","Meaning","Description","EnabledFlag","StartDateActive","EndDateActive","DisplaySequence","CreatedBy","CreationDate","LastUpdatedBy","LastUpdateDate","LastUpdateLogin","Tag"
"HZ_GEO_DATA_PROVIDER","FD_GDP_1","FlexDeploy GDP 1.1","FlexDeploy GDP 1.1","Y","2022/04/04","2022/04/04","1","CUSTOMIZED_USER","2022/03/28 16:01:49.0","CUSTOMIZED_USER","2022/04/04 18:05:39.135","D9EAF209BE4D4B6EE053CE65F00AB110","FlexDeploy GDP 1.1"
"HZ_GEO_DATA_PROVIDER","FD_GDP_2","FlexDeploy GDP 2.1","FlexDeploy GDP 2.1","Y","2022/04/04","2022/04/04","2","CUSTOMIZED_USER","2022/03/28 16:02:28.515","CUSTOMIZED_USER","2022/04/04 18:05:39.202","D9EAF209BE4D4B6EE053CE65F00AB110","FlexDeploy GDP 2.1"
"HZ_GEO_DATA_PROVIDER","FD_GDP_3","FlexDeploy GDP 3.1","FlexDeploy GDP 3.1","Y","2022/04/04","2022/04/04","3","CUSTOMIZED_USER","2022/03/28 16:03:33.158","CUSTOMIZED_USER","2022/04/04 18:05:39.256","D9EAF209BE4D4B6EE053CE65F00AB110",""
"HZ_GEO_DATA_PROVIDER","GDT","Geographic Data Technology","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.694","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","LOQATE","GBG | Loqate","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2018/05/23 17:03:25.0","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","NAVTEC","Nokia","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.699","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","ORA_AVALARA","Avalara","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2023/10/27 10:08:32.670777","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","ORA_HCM","Oracle Fusion Cloud Human Capital Management","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2021/10/28 04:31:24.0","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","TAXWARE","Taxware","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.703","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","TIGER_DATA","TIGER data","Topologically Integrated Geographic Encoding and Referencing system provided by the United States Census Bureau.","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.707","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","USER_ENTERED","User entered","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.711","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","USGS","United States Geological Survey","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.738","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_DATA_PROVIDER","VERTEX","Vertex","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.742","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1",""
"HZ_GEO_IDENTIFIER_SUBTYPE","FD_GIS_1","FlexDeploy GIS 1","","Y","2022/03/28","","","CUSTOMIZED_USER","2022/03/28 16:04:24.279","CUSTOMIZED_USER","2022/03/28 16:05:14.829","D9EAF533234B4BB0E053CE65F00A273D",""
"HZ_GEO_IDENTIFIER_SUBTYPE","FD_GIS_2","FlexDeploy GIS 2","","Y","2022/03/28","","","CUSTOMIZED_USER","2022/03/28 16:04:55.116","CUSTOMIZED_USER","2022/03/28 16:05:14.865","D9EAF533234B4BB0E053CE65F00A273D",""
"HZ_GEO_IDENTIFIER_SUBTYPE","FIPS_CODE","FIPS code","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.826","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1","C"
"HZ_GEO_IDENTIFIER_SUBTYPE","GEO_CODE","Tax geography code","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.83","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1","C"
"HZ_GEO_IDENTIFIER_SUBTYPE","ISO_COUNTRY_CODE","ISO country code","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.834","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1","C"
"HZ_GEO_IDENTIFIER_SUBTYPE","PRIMARY_CITY","Primary city","Primary city for a geography code, internally used.","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.839","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1","C"
"HZ_GEO_IDENTIFIER_SUBTYPE","SECONDARY_NAME","Secondary identifier name","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.844","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1","N"
"HZ_GEO_IDENTIFIER_SUBTYPE","STANDARD_NAME","Standard identifier name","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.848","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1","N"
"HZ_GEO_IDENTIFIER_SUBTYPE","UNKNOWN","Unknown","","Y","1951/01/01","","","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.853","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:58.642049","-1","C"
